id,catergory,name-en,name-zh-hk,address-en,address-zh-hk,phone-number,fax-number,url-en,locations_Id
612,shopping-malls," Peak Galleria, The ", 山頂廣場 , 118 Peak Road. Victoria Peak , 山頂山頂道118號 ,28434113,28495213,www.thepeakgalleria.com,73
611,shopping-malls, Paradise Mall , 杏花新城 ," 100 Shing Tai Street, Heng Fa Chuen, Chai Wan ", 柴灣杏花邨城泰街100號 ,25951010,25951011,www.paradise-mall.com.hk,74
610,shopping-malls, Pacific Place , 太古廣場 ," 88 Queensway,Admiralty ", 金鐘金鐘道88號 ,28448900,29189577,www.pacificplace.com.hk,75
609,shopping-malls, Man Yee Building , 萬宜大廈 ," 60-38 Des Voeux Road, Central ", 中環德輔道中60-68號 ,,,,76
608,shopping-malls, Lee Theatre Plaza , 利舞臺廣場 ," 99 Percival Street, Causeway Bay ", 銅鑼灣波斯富街99號 ,25042781,25042032,www.leegardens.com.hk,77
607,shopping-malls," Lee Gardens, The ", 利園 ," 33 Hysan Avenue, Causeway Bay ", 銅鑼灣希慎道33號 ,29075772,,www.leegardens.com.hk,78
606,shopping-malls," Landmark, The ", 置地廣場 ," 11 Pedder Street, Central ", 中環畢打街11號 ,25254142,25220351,www.hkland.com/commercial_property/hongkong_properties/thelandmark/index.html,79
604,shopping-malls, Laforet , 東角 ," 24-26 East Point Rd, Causeway Bay ", 銅鑼灣東角道24-26號 ,,,www.laforet.hk,80
603,shopping-malls, Island Beverley , 金百利 ," 1 Great George Street, Causeway Bay ", 銅鑼灣記利佐治街1號 ,28522808,,,81
602,shopping-malls, IFC Mall , 國際金融中心商場 ," 1 Harbour View Street, Central ", 中環金融街8號 ,21473538,21473558,www.ifc.com.hk,82
600,shopping-malls, Cityplaza , 太古城中心 第1、2期 ," 18 Taikoo Shing Rd, Taikoo Shing ", 鰂魚涌太古城道18號 ,25688665,25602151,www.cityplaza.com,83
599,shopping-malls, Causeway Place , 銅鑼灣地帶 ," 2-10 Great George Street, Causeway Bay ", 銅鑼灣記利佐治街2-10號 ,,,www.causewayplace.hk,84
598,shopping-malls, Causeway Bay Plaza Phase 2 , 銅鑼灣廣場二期 ," 463-483 Lockhart Rd, Causeway Bay ", 銅鑼灣駱克道463-483號 ,,,,85
595,shopping-malls, Causeway Bay Plaza Phase 1 , 銅鑼灣廣場一期 ," 489 Hennessy Road, Causeway Bay ", 銅鑼灣軒尼斯道489號 ,,,,86
594,shopping-malls, Alexandra House , 歷山大廈 ," 18 Chater Road, Central ", 中環遮打道18號 ,,,www.hkland.com/commercial_property/hongkong_properties/alexandrahouse/index.html,87
593,shopping-malls, Admiralty Centre , 海富中心 ," 18 Harcourt Road, Central ", 金鐘夏愨道18號 ,25284086,28654844,www.mtr.com.hk/eng/properties/urban_lines_admiraltycentre.html,88
592,food-courts, Times Square , 時代廣場 ," B/F, 1 Matheson Street, Causeway Bay ", 銅鑼灣勿地臣街1號 ,21188900,21188934,www.timessquare.com.hk,89
591,food-courts, Cityplaza , 太古城中心 ," Phase 1,2 3/F, 18 Taikoo Shing Road, Taikoo Shing ","\n(English) Phase 1,2 3/F, 18 Taikoo Shing Road, Taikoo Shing\n",25688665,25602151,www.cityplaza.com/chi/default.htm,90
590,food-courts, Admiralty Centre , 海富中心 ," 2/F, 18 Harcourt Road, Admiralty ", 金鐘夏慤道18號 ,25284086,28654844,,91
291,computer-centre, New Capital Computer Plaza , 新高登電腦商場 ," 85-89 Un Chau Street, Sham Shui Po ", 深水埗元州街85號 ,27083886,27083886,,92
290,computer-centre, Golden Computer Arcade , 黃金電腦商場 ," G/F & B/F, 146-152 Fuk Wa Street, Sham Shui Po ", 深水埗福華街146-152號，G/F & B/F ,27292101,23866010,,93
289,computer-centre, Golden Shopping Center , 高登電腦中心 ," 1/F, 146-152 Fuk Wa Street, Sham Shui Po ", 深水埗福華街146-152號1樓 ,23868137,21949939,,94
288,computer-centre, Star Computer City , 星光電腦城 ," 2/F.,3 Salisbury Road, Tsim Sha Tsui ", 尖沙咀梳士巴利道3號星光行2樓 ,27362608,27362606,,95
287,computer-centre, Mong Kok Computer Center , 旺角電腦中心 ," 8, Nelson Street, Mongkok ", 旺角奶路臣街8號 ,,,,96
286,computer-centre, Wan Chai Computer Center , 灣仔電腦城 ," 130 Hennessy Road, Wanchai ", 灣仔軒尼詩道130號 ,28347685,,,97
285,computer-centre, Windsor House: Computer Mall , 皇室堡電腦城 ," 10-12/F. 311 Gloucester Road, Causeway Bay  ", 銅鑼灣告士打道皇室大廈10樓至12樓 ,28956796,,,98
511,art-performance-center, Sha Tin Town Hall , 沙田大會堂 ," 1 Yuen Wo Road, Sha Tin, N.T. ", 沙田源禾路1號 ,26942570,26934878,www.lcsd.gov.hk/CE/CulturalService/Shatin,99
510,art-performance-center, Ko Shan Theatre , 高山劇場 ," 77 Ko Shan Road Park, Hung Hum, Kowloon ", 紅磡高山道77號 ,27409222,27814783,www.lcsd.gov.hk/kst,100
509,art-performance-center, Hong Kong Coliseum , 香港體育館 ," 9 Cheong Wan Road, Hunghom, Kowloon ", 紅磡暢運道9號 ,23557234,23632549,www.lcsd.gov.hk/CE/Entertainment/Stadia/HKC/index.php,101
508,art-performance-center, Hong Kong Cultural Centre , 香港文化中心 ," 10 Salisbury Road, Tsim Sha Tsui, Kowloon ", 尖沙咀梳士巴利道10號 ,27342009,27342009,www.lcsd.gov.hk/CE/CulturalService/HKCC/index.html,102
507,art-performance-center, Hong Kong Academy for Performing Arts , 香港演藝學院 ," 1 Gloucester Road, Wanchai, HK ", 灣仔告士打道1號 ,25848633,28241071,www.hkapa.edu,103
506,art-performance-center, Hong Kong City Hall , 香港大會堂 ," 5 Edinburgh Place, Central, HK ", 中環愛丁堡廣場5號 ,29212840,25245898,www.cityhall.gov.hk/index.php,104
505,art-performance-center, Hong Kong Stadium , 香港大球場 ," 55 Eastern Hospital Road,So Kon Po, HK ", 銅鑼灣掃桿埔東院道55號 ,28957895,28957962,www.lcsd.gov.hk/stadium/hks,105
504,art-performance-center, Queen Elizabeth Stadium , 伊利沙伯體育館 ," 18 Oi Kwan Road, Wanchai, HK ", 灣仔愛群道18號 ,25911346,28035794,www.lcsd.gov.hk/CE/Entertainment/Stadia/QE/index.php,106
503,art-performance-center, Sheung Wan Civic Centre , 上環文娛中心 ,"5/F Sheung Wan Municipal Services Building, 345 Queen's Rd, HK", 上環皇后大道中345號上環市政大廈5樓 ,28532668,25439771,www.lcsd.gov.hk/CE/CulturalService/SWCC/index-new.html,107
